geocode,year,count,country,log_count
0,AUT,2011,3,Austria,1.0986122886681098
4,DEU,2011,7,Germany,1.9459101490553132
6,USA,2011,105,USA,4.653960350157523
1,FRA,2012,2,France,0.6931471805599453
3,LUX,2012,2,Luxembourg,0.6931471805599453
4,NLD,2012,2,Netherlands,0.6931471805599453
0,DEU,2012,4,Germany,1.3862943611198906
2,GBR,2012,4,Scotland,1.3862943611198906
5,USA,2012,103,USA,4.634728988229636
1,CHE,2013,1,Switzerland,0.5
2,CHL,2013,1,Chile,0.5
4,KOR,2013,1,South Korea,0.5
5,MEX,2013,1,Mexico,0.5
0,AUT,2013,2,Austria,0.6931471805599453
6,TUR,2013,3,Turkey,1.0986122886681098
3,DEU,2013,7,Germany,1.9459101490553132
7,USA,2013,105,USA,4.653960350157523
2,KOR,2014,2,South Korea,0.6931471805599453
3,TWN,2014,2,Taiwan,0.6931471805599453
0,CHN,2014,3,China,1.0986122886681098
1,JPN,2014,5,Japan,1.6094379124341003
4,USA,2014,96,USA,4.564348191467836
4,IRL,2015,1,Ireland,0.5
5,LUX,2015,1,Luxembourg,0.5
6,NLD,2015,2,Netherlands,0.6931471805599453
2,FRA,2015,3,France,1.0986122886681098
0,CHN,2015,4,China,1.3862943611198906
1,DEU,2015,4,Germany,1.3862943611198906
3,GBR,2015,4,Scotland,1.3862943611198906
7,USA,2015,118,USA,4.770684624465665
0,CHN,2016,4,China,1.3862943611198906
1,USA,2016,134,USA,4.897839799950911
1,BEL,2017,1,Belgium,0.5
7,LUX,2017,1,Luxembourg,0.5
0,AUT,2017,2,Austria,0.6931471805599453
4,DNK,2017,2,Denmark,0.6931471805599453
6,HUN,2017,2,Hungary,0.6931471805599453
2,CHN,2017,3,China,1.0986122886681098
3,DEU,2017,4,Germany,1.3862943611198906
5,GBR,2017,4,Scotland,1.3862943611198906
8,USA,2017,47,USA,3.8501476017100584
